household_ID,room_ID,ac_ID,type_of_the_ac,is_the_ac_inverter_or_not,is_room_fully_sealed,wattage_of_the_ac,btu_of_the_ac,no_of_hours_ac_was_on_during_daytime_last_week,no_of_hours_ac_was_on_during_night_last_week
ID0282,I_1,I_1_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_2,I_2_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_2,I_2_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_3,I_3_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_3,I_3_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_4,I_4_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_4,I_4_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_5,I_5_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_5,I_5_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_6,I_6_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_6,I_6_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_7,I_7_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_7,I_7_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_8,I_8_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_8,I_8_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_9,I_9_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_9,I_9_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_10,I_10_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_10,I_10_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_11,I_11_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_11,I_11_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_12,I_12_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_12,I_12_AC_2,1,2,1,0.0,0,0.0,0.0
ID0282,I_13,I_13_AC_1,1,2,1,0.0,999,0.0,0.0
ID0282,I_13,I_13_AC_2,1,2,1,0.0,0,0.0,0.0
ID0294,I_2,I_2_AC_1,4,1,1,0.0,1000,0.0,0.0
ID0294,I_3,I_3_AC_1,4,1,1,0.0,1000,0.0,0.0
ID0296,I_2,I_2_AC_1,3,1,1,0.0,18000,0.0,0.0
ID0296,I_10,I_10_AC_1,3,1,1,0.0,12000,0.0,56.0
ID0296,I_11,I_11_AC_1,3,1,1,0.0,12000,0.0,56.0
ID0296,I_12,I_12_AC_1,3,1,1,0.0,12000,0.0,56.0
ID0296,I_13,I_13_AC_1,3,1,1,0.0,12000,0.0,56.0
ID0307,I_1,I_1_AC_1,3,1,1,0.0,999,7.0,7.0
ID0321,I_2,I_2_AC_1,3,2,1,9000.0,9000,0.0,21.0
ID0345,I_2,I_2_AC_1,4,1,1,0.0,12000,0.0,8.0
ID0345,I_4,I_4_AC_1,4,1,1,0.0,12000,0.0,6.0
ID0348,I_1,I_1_AC_1,1,2,1,12000.0,1000,0.0,70.0
ID0348,I_2,I_2_AC_1,1,2,1,12000.0,1000,0.0,70.0
ID0348,I_3,I_3_AC_1,1,2,1,12000.0,1000,0.0,70.0
ID0348,I_4,I_4_AC_1,1,2,1,12000.0,1000,0.0,70.0
ID0348,I_5,I_5_AC_1,1,2,1,12000.0,1000,0.0,70.0
ID0348,I_6,I_6_AC_1,1,2,1,12000.0,1000,0.0,70.0
ID0348,I_7,I_7_AC_1,1,2,1,12000.0,1000,0.0,70.0
ID0356,I_4,I_4_AC_1,4,1,1,0.0,999,0.0,0.0
ID0371,I_9,I_9_AC_1,3,1,1,0.0,999,0.0,70.0
ID0376,I_2,I_2_AC_1,1,1,1,0.0,999,0.0,0.0
ID0392,I_2,I_2_AC_1,3,1,1,0.0,999,0.0,0.0
ID0392,I_3,I_3_AC_1,3,2,1,0.0,999,10.5,0.0
ID0395,I_2,I_2_AC_1,3,1,1,0.0,999,8.0,80.0
ID0395,I_5,I_5_AC_1,3,1,1,0.0,999,0.0,72.0
ID0406,I_3,I_3_AC_1,3,1,1,18.0,999,0.0,49.0
ID0406,I_4,I_4_AC_1,3,1,1,12.0,999,0.0,7.0
ID0406,I_5,I_5_AC_1,3,1,2,18.0,999,35.0,64.0
ID0406,I_6,I_6_AC_1,3,1,2,12.0,999,35.0,64.0
ID0416,I_2,I_2_AC_1,3,1,1,0.0,999,28.0,42.0
ID0417,I_1,I_1_AC_1,3,1,1,0.0,18000,0.0,0.0
